Country,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
Argentina,1990,0.194422,0.755674,0.323686,6.165921,0.919424,3.56918,1.918939
Argentina,1991,0.194184,0.756386,0.326904,6.174471,0.920323,3.579068,2.02204
Argentina,1992,0.194034,0.757139,0.330504,6.182707,0.921296,3.588855,2.116047
Argentina,1993,0.193973,0.757909,0.334286,6.190356,0.92162,3.597366,2.193307
Argentina,1994,0.194004,0.758686,0.338418,6.197271,0.921581,3.606913,2.246206
Argentina,1995,0.194123,0.759434,0.342052,6.203265,0.921008,3.615924,2.266897
Argentina,1996,0.194417,0.760237,0.347589,6.207523,0.918835,3.62656,2.268023
Argentina,1997,0.194903,0.761185,0.353055,6.210284,0.914714,3.636296,2.267957
Argentina,1998,0.195463,0.762185,0.358989,6.212472,0.909856,3.643306,2.267221
Argentina,1999,0.195965,0.763106,0.363814,6.214769,0.906565,3.652057,2.266152
Argentina,2000,0.196289,0.763877,0.36584,6.218309,0.904738,3.657305,2.265181
Argentina,2001,0.196427,0.764885,0.365304,6.225155,0.908681,3.658839,2.264304
Argentina,2002,0.196497,0.766416,0.364991,6.235853,0.915157,3.658971,2.262875
Argentina,2003,0.196518,0.768016,0.363373,6.247079,0.923671,3.658181,2.259731
Argentina,2004,0.196537,0.769343,0.362547,6.256249,0.932659,3.657002,2.254094
Argentina,2005,0.196588,0.770011,0.362843,6.260736,0.937196,3.655549,2.244914
Argentina,2006,0.196713,0.770185,0.364132,6.261819,0.941133,3.653175,2.196387
Argentina,2007,0.19693,0.770414,0.367761,6.263549,0.944449,3.651586,2.096837
Argentina,2008,0.19718,0.770661,0.372471,6.265572,0.94799,3.649862,1.980933
Argentina,2009,0.1974,0.770877,0.378055,6.267259,0.950796,3.64756,1.883428
Argentina,2010,0.197541,0.771084,0.381185,6.268718,0.955035,3.64793,1.839168
Argentina,2011,0.197617,0.771251,0.384078,6.269782,0.958496,3.647499,1.833472
Argentina,2012,0.197711,0.771522,0.388199,6.271653,0.964145,3.648385,1.828883
Argentina,2013,0.197801,0.771821,0.390826,6.273679,0.971257,3.651044,1.825346
Argentina,2014,0.197892,0.772175,0.394867,6.27602,0.979329,3.654178,1.82308
Argentina,2015,0.197978,0.772568,0.397998,6.278538,0.987998,3.657683,1.822172
Argentina,2016,0.198042,0.772948,0.401108,6.280932,0.999099,3.661312,1.822573
Argentina,2017,0.198094,0.773376,0.404033,6.283678,1.008901,3.665488,1.824515
Australia,1990,0.360489,1.129134,0.700091,6.525294,2.133236,4.621187,1.35291
Australia,1991,0.361196,1.132647,0.704109,6.519968,2.185893,4.671933,1.392997
Australia,1992,0.361893,1.135936,0.708001,6.513663,2.23508,4.715412,1.430158
Australia,1993,0.362524,1.13879,0.713708,6.505452,2.275939,4.754454,1.462686
Australia,1994,0.363001,1.140927,0.719508,6.494057,2.308155,4.783948,1.488673
Australia,1995,0.363259,1.142137,0.725294,6.478469,2.328898,4.804053,1.50631
Australia,1996,0.363435,1.142788,0.733481,6.45638,2.343328,4.810794,1.519423
Australia,1997,0.363709,1.14348,0.746092,6.43059,2.359424,4.810776,1.532104
Australia,1998,0.36403,1.144141,0.761552,6.406342,2.375714,4.801317,1.543012
Australia,1999,0.364343,1.144737,0.777322,6.389211,2.386831,4.796896,1.550707
Australia,2000,0.364609,1.145253,0.791918,6.384728,2.388356,4.803224,1.553826
Australia,2001,0.364995,1.145961,0.808347,6.417576,2.360694,4.823557,1.543209
Australia,2002,0.365602,1.147003,0.828231,6.49112,2.297017,4.854392,1.517321
Australia,2003,0.366274,1.148158,0.850376,6.578489,2.215742,4.892317,1.486347
Australia,2004,0.366824,1.149127,0.87044,6.652206,2.137957,4.920486,1.460324
Australia,2005,0.367078,1.149604,0.884259,6.684743,2.08648,4.929038,1.449451
Australia,2006,0.366969,1.1497,0.896383,6.681046,2.05673,4.923528,1.453958
Australia,2007,0.366635,1.149731,0.90658,6.6679,2.027429,4.906827,1.464827
Australia,2008,0.366204,1.149689,0.915572,6.650491,2.003808,4.882334,1.478267
Australia,2009,0.365813,1.149596,0.923455,6.63435,1.991759,4.857927,1.490525
Australia,2010,0.365598,1.149425,0.928043,6.624617,1.993151,4.83422,1.497867
Australia,2011,0.365464,1.149079,0.931935,6.619503,2.007703,4.813622,1.501284
Australia,2012,0.365245,1.148473,0.93576,6.614107,2.032422,4.79008,1.504314
Australia,2013,0.364942,1.147593,0.939176,6.608198,2.068835,4.759686,1.506864
Australia,2014,0.364577,1.146475,0.941661,6.602041,2.114377,4.731142,1.508926
Australia,2015,0.364163,1.14513,0.943206,6.595691,2.170634,4.696774,1.510434
Australia,2016,0.363743,1.143669,0.943991,6.589757,2.237198,4.659817,1.511465
Australia,2017,0.363326,1.142097,0.943081,6.584301,2.315142,4.623881,1.511935
Belgium,1990,0.258182,0.956433,0.511213,5.224713,0.823533,3.631738,1.387457
Belgium,1991,0.258625,0.956856,0.515844,5.226843,0.82425,3.627543,1.403034
Belgium,1992,0.259006,0.957313,0.520184,5.229158,0.826297,3.628315,1.417717
Belgium,1993,0.259312,0.957784,0.524512,5.231608,0.828176,3.62928,1.430756
Belgium,1994,0.259537,0.958218,0.528504,5.233893,0.829118,3.633646,1.441613
Belgium,1995,0.25966,0.95855,0.531941,5.235607,0.831801,3.637369,1.449455
Belgium,1996,0.259665,0.958901,0.535318,5.235715,0.833524,3.651726,1.456045
Belgium,1997,0.259599,0.959406,0.539216,5.234289,0.837075,3.678606,1.463345
Belgium,1998,0.25952,0.960013,0.544018,5.23266,0.841927,3.715983,1.470558
Belgium,1999,0.259457,0.960561,0.54785,5.231493,0.844959,3.751435,1.476885
Belgium,2000,0.259447,0.960924,0.551042,5.231671,0.84728,3.786139,1.481386
Belgium,2001,0.259525,0.960393,0.555048,5.233195,0.848113,3.820883,1.482057
Belgium,2002,0.259641,0.958676,0.559963,5.234509,0.848895,3.859915,1.478824
Belgium,2003,0.259752,0.956505,0.564026,5.235412,0.849209,3.90036,1.473649
Belgium,2004,0.259837,0.954642,0.568199,5.23589,0.850019,3.935032,1.468771
Belgium,2005,0.259857,0.953815,0.571245,5.235736,0.85058,3.968705,1.466283
Belgium,2006,0.259574,0.952904,0.573942,5.232268,0.847079,4.000156,1.463475
Belgium,2007,0.258939,0.950801,0.576778,5.224673,0.840366,4.033786,1.457719
Belgium,2008,0.258193,0.948343,0.579555,5.215843,0.831726,4.067485,1.451158
Belgium,2009,0.257573,0.946302,0.580717,5.208498,0.824043,4.091096,1.446052
Belgium,2010,0.257307,0.945425,0.583341,5.205143,0.818987,4.101865,1.444568
Belgium,2011,0.257318,0.945468,0.586292,5.205096,0.817703,4.104088,1.445937
Belgium,2012,0.257358,0.945567,0.589313,5.205432,0.817808,4.106356,1.447709
Belgium,2013,0.257434,0.945767,0.592095,5.20626,0.818149,4.110062,1.450025
Belgium,2014,0.257537,0.946013,0.5951,5.207286,0.817974,4.110472,1.452881
Belgium,2015,0.257675,0.946314,0.598318,5.208646,0.819489,4.110452,1.456476
Belgium,2016,0.257856,0.946706,0.600263,5.210451,0.821391,4.109551,1.460782
Belgium,2017,0.258073,0.947159,0.603869,5.212645,0.823451,4.109186,1.465639
Brazil,1990,0.200558,1.093153,0.233012,5.56994,0.943406,3.534532,2.416659
Brazil,1991,0.200931,1.094518,0.233714,5.563857,0.947967,3.529751,2.422741
Brazil,1992,0.201281,1.095843,0.234571,5.563495,0.952121,3.531068,2.433288
Brazil,1993,0.201587,1.097048,0.235456,5.567271,0.9554,3.537037,2.447223
Brazil,1994,0.201834,1.098076,0.236509,5.573641,0.957739,3.544956,2.463527
Brazil,1995,0.202004,1.098844,0.237314,5.580977,0.958947,3.553949,2.481157
Brazil,1996,0.202111,1.099409,0.238404,5.632947,0.959551,3.613853,2.513058
Brazil,1997,0.20219,1.099896,0.240256,5.749888,0.960218,3.746093,2.564113
Brazil,1998,0.20225,1.100308,0.242199,5.895318,0.960823,3.902352,2.621187
Brazil,1999,0.2023,1.100634,0.243833,6.032669,0.961662,4.034842,2.670994
Brazil,2000,0.202348,1.100882,0.245153,6.125479,0.962273,4.097776,2.700238
Brazil,2001,0.202414,1.101135,0.246012,6.189375,0.964259,4.106735,2.707953
Brazil,2002,0.202504,1.10145,0.246844,6.257604,0.968125,4.110734,2.705432
Brazil,2003,0.202609,1.101808,0.247595,6.320209,0.972504,4.109456,2.697842
Brazil,2004,0.202716,1.102167,0.248581,6.367079,0.976691,4.102729,2.690265
Brazil,2005,0.202819,1.102489,0.249669,6.388078,0.979773,4.090664,2.687807
Brazil,2006,0.20302,1.102973,0.251311,6.392372,0.986063,4.027395,2.691151
Brazil,2007,0.203373,1.103756,0.254081,6.395706,0.997877,3.895578,2.696485
Brazil,2008,0.20379,1.104679,0.257158,6.39738,1.011868,3.73573,2.702302
Brazil,2009,0.204172,1.105517,0.260296,6.396336,1.024538,3.588454,2.706941
Brazil,2010,0.204423,1.10608,0.262812,6.391711,1.032367,3.497159,2.708814
Brazil,2011,0.204578,1.106378,0.264975,6.377567,1.036564,3.449547,2.70827
Brazil,2012,0.20474,1.106618,0.267234,6.350157,1.0406,3.408068,2.706707
Brazil,2013,0.204907,1.106805,0.269346,6.3111,1.045119,3.371926,2.70413
Brazil,2014,0.205073,1.106928,0.271348,6.261913,1.049781,3.342011,2.700511
Brazil,2015,0.205235,1.106988,0.273366,6.204158,1.054041,3.319423,2.695875
Brazil,2016,0.205391,1.106988,0.275301,6.139401,1.05831,3.304643,2.690277
Brazil,2017,0.205534,1.106915,0.277051,6.06918,1.061681,3.297368,2.683581
Canada,1990,0.313895,0.716075,0.442652,5.538491,1.802016,4.089515,1.52905
Canada,1991,0.314018,0.716383,0.442308,5.540824,1.811852,4.097314,1.51866
Canada,1992,0.314138,0.716693,0.441688,5.543399,1.830119,4.105661,1.510788
Canada,1993,0.314248,0.716988,0.442179,5.546001,1.854861,4.111715,1.505524
Canada,1994,0.314328,0.717223,0.442959,5.548263,1.882812,4.117476,1.502866
Canada,1995,0.314364,0.717349,0.443547,5.549673,1.912996,4.120524,1.50293
Canada,1996,0.314401,0.717473,0.444286,5.492732,1.974224,4.124002,1.50824
Canada,1997,0.314452,0.71762,0.444809,5.35503,2.07111,4.128427,1.51893
Canada,1998,0.314517,0.717793,0.446613,5.1902,2.178492,4.131973,1.531818
Canada,1999,0.314584,0.717978,0.447929,5.051829,2.267821,4.134098,1.543612
Canada,2000,0.314628,0.718103,0.449142,4.993251,2.309972,4.131314,1.551039
Canada,2001,0.31465,0.717877,0.450782,4.992785,2.317488,4.116602,1.555572
Canada,2002,0.314663,0.717205,0.454521,4.992945,2.318948,4.085414,1.560563
Canada,2003,0.31467,0.716377,0.458293,4.993633,2.318492,4.046825,1.565579
Canada,2004,0.31467,0.715673,0.462292,4.994661,2.31377,4.011867,1.570141
Canada,2005,0.314668,0.715362,0.463917,4.99589,2.307939,3.987778,1.573773
Canada,2006,0.314602,0.715196,0.46538,5.014462,2.293864,3.970255,1.576909
Canada,2007,0.314422,0.714762,0.467022,5.056273,2.26861,3.949366,1.580035
Canada,2008,0.314223,0.714269,0.468737,5.105764,2.238376,3.932311,1.58323
Canada,2009,0.314063,0.713861,0.469551,5.146801,2.213074,3.918091,1.586395
Canada,2010,0.314014,0.713705,0.47038,5.163625,2.19518,3.911885,1.589404
Canada,2011,0.314082,0.713801,0.470892,5.163595,2.188105,3.913974,1.59254
Canada,2012,0.314213,0.714027,0.471709,5.164413,2.187286,3.919381,1.59601
Canada,2013,0.314388,0.714322,0.472149,5.165811,2.19462,3.926503,1.599727
